a,b,res
0.05,0.41000000000000003,426539.69
0.05,0.42,426693.45999999996
0.05,0.43,426570.11
0.05,0.44,426678.48
0.05,0.45,427048.0
0.05,0.46,427135.9
0.05,0.47000000000000003,427251.52999999997
0.05,0.48,427253.91
0.05,0.49,427143.93999999994
0.05,0.5,427143.93999999994
0.05,0.51,427119.14
0.05,0.52,427068.04
0.05,0.53,426494.19999999995
0.05,0.54,426538.31
0.05,0.55,426648.28
0.05,0.56,426648.28
0.05,0.5700000000000001,426607.29000000004
0.05,0.58,426590.0
0.05,0.59,426590.0
0.05,0.6,426894.19
0.05,0.61,426894.19
0.05,0.62,426840.64
0.05,0.63,426840.64
0.05,0.64,426840.64
0.05,0.65,426790.78
0.05,0.66,426790.78
0.05,0.67,426790.78
0.05,0.68,426790.78
0.05,0.6900000000000001,426881.3
0.05,0.7000000000000001,426887.71
0.05,0.71,426887.71
0.05,0.72,426900.88
0.05,0.73,427027.19
0.05,0.74,427010.47
0.05,0.75,426864.32999999996
0.05,0.76,426862.95999999996
0.05,0.77,426510.16
0.05,0.78,426258.73
0.05,0.79,426245.74
0.05,0.8,426586.92
0.05,0.81,425882.97
0.05,0.8200000000000001,425662.71
0.05,0.8300000000000001,425342.89
0.05,0.84,425375.27
0.05,0.85,425104.16
0.05,0.86,425102.26
0.05,0.87,424928.95999999996
0.05,0.88,424478.75
0.05,0.89,424511.05
0.05,0.9,423959.62
0.05,0.91,423946.63
0.05,0.92,424035.39999999997
0.05,0.93,424035.39999999997
0.05,0.9400000000000001,423874.32999999996
0.05,0.9500000000000001,419365.41000000003
0.05,0.96,419365.41000000003
0.05,0.97,419365.41000000003
0.05,0.98,419365.41000000003
0.05,0.99,419365.41000000003
0.05,1.0,419365.41000000003
0.06,0.0,279408.19
0.06,0.01,393853.43000000005
0.06,0.02,404029.25
0.06,0.03,407118.25
0.06,0.04,409215.44999999995
0.06,0.05,412585.1
0.06,0.06,415209.8
0.06,0.07,418050.36
0.06,0.08,417913.6
0.06,0.09,418500.13
0.06,0.1,417501.93999999994
0.06,0.11,417346.82
0.06,0.12,416305.33999999997
0.06,0.13,417882.67000000004
0.06,0.14,418384.51
0.06,0.15,418220.95
0.06,0.16,418356.62
0.06,0.17,419559.87000000005
0.06,0.18,419696.32000000007
0.06,0.19,420061.97
0.06,0.2,421154.82999999996
0.06,0.21,422157.95999999996
0.06,0.22,422388.74
0.06,0.23,422775.74
0.06,0.24,423904.20999999996
0.06,0.25,423966.25
0.06,0.26,423780.33999999997
0.06,0.27,423969.25
0.06,0.28,424214.02
0.06,0.29,424607.53
0.06,0.3,425313.35
0.06,0.31,425162.15
0.06,0.32,425826.16000000003
0.06,0.33,426082.02
0.06,0.34,426020.18
0.06,0.35000000000000003,426112.26
0.06,0.36,426069.43
0.06,0.37,426097.76999999996
0.06,0.38,426276.19
0.06,0.39,426615.92000000004
0.06,0.4,426710.53
0.06,0.41000000000000003,426693.45999999996
0.06,0.42,426693.45999999996
0.06,0.43,426678.48
0.06,0.44,426769.0
0.06,0.45,426944.8
0.06,0.46,427035.32
0.06,0.47000000000000003,427060.43
0.06,0.48,426952.83999999997
0.06,0.49,426952.83999999997
0.06,0.5,426928.04000000004
0.06,0.51,426928.04000000004
0.06,0.52,426876.93999999994
0.06,0.53,426373.19999999995
0.06,0.54,426648.28
0.06,0.55,426648.28
0.06,0.56,426648.28
0.06,0.5700000000000001,426607.29000000004
0.06,0.58,426590.0
0.06,0.59,426830.94
0.06,0.6,426894.19
0.06,0.61,426840.64
0.06,0.62,426840.64
0.06,0.63,426840.64
0.06,0.64,426702.58
0.06,0.65,426702.58
0.06,0.66,426702.58
0.06,0.67,426715.75
0.06,0.68,426932.58
0.06,0.6900000000000001,426863.78
0.06,0.7000000000000001,426825.52
0.06,0.71,426876.62
0.06,0.72,426523.82
0.06,0.73,426255.67
0.06,0.74,426223.0
0.06,0.75,426157.54000000004
0.06,0.76,426170.53
0.06,0.77,425584.62
0.06,0.78,424983.74
0.06,0.79,424915.86
0.06,0.8,425418.1
0.06,0.81,425375.27
0.06,0.8200000000000001,425104.16
0.06,0.8300000000000001,425177.47
0.06,0.84,424925.86
0.06,0.85,424373.56
0.06,0.86,424512.28
0.06,0.87,424455.83
0.06,0.88,423959.62
0.06,0.89,423946.63
0.06,0.9,423946.63
0.06,0.91,424035.39999999997
0.06,0.92,424035.39999999997
0.06,0.93,423750.92000000004
0.06,0.9400000000000001,419365.41000000003
0.06,0.9500000000000001,419365.41000000003
0.06,0.96,419365.41000000003
0.06,0.97,419365.41000000003
0.06,0.98,419365.41000000003
0.06,0.99,419365.41000000003
0.06,1.0,419365.41000000003
0.07,0.0,279408.19
0.07,0.01,393746.93999999994
0.07,0.02,402528.1
0.07,0.03,406450.1
0.07,0.04,408491.38
0.07,0.05,412619.54000000004
0.07,0.06,415373.88
0.07,0.07,418141.95
0.07,0.08,417416.24
0.07,0.09,418630.6
0.07,0.1,417068.8
0.07,0.11,416881.04000000004
0.07,0.12,416475.39999999997
0.07,0.13,417822.31000000006
0.07,0.14,418082.07
0.07,0.15,418072.01
0.07,0.16,418371.28
0.07,0.17,418379.01
0.07,0.18,419590.83
0.07,0.19,420727.25
0.07,0.2,421098.41000000003
0.07,0.21,421384.63
0.07,0.22,421968.75
0.07,0.23,422133.38
0.07,0.24,423904.20999999996
0.07,0.25,424402.79
0.07,0.26,423858.18999999994
0.07,0.27,424292.44
0.07,0.28,424491.32999999996
0.07,0.29,424912.16000000003
0.07,0.3,425313.92000000004
0.07,0.31,425471.17000000004
0.07,0.32,425954.09
0.07,0.33,426169.92000000004
0.07,0.34,426144.7
0.07,0.35000000000000003,426193.95
0.07,0.36,426201.82
0.07,0.37,426312.81
0.07,0.38,426509.08
0.07,0.39,426615.92000000004
0.07,0.4,426622.63
0.07,0.41000000000000003,426693.45999999996
0.07,0.42,426570.11
0.07,0.43,426678.48
0.07,0.44,426856.89999999997
0.07,0.45,426944.8
0.07,0.46,427060.43
0.07,0.47000000000000003,427062.81
0.07,0.48,426952.83999999997
0.07,0.49,426952.83999999997
0.07,0.5,426928.04000000004
0.07,0.51,426876.93999999994
0.07,0.52,426303.1
0.07,0.53,426347.20999999996
0.07,0.54,426457.18
0.07,0.55,426457.18
0.07,0.56,426416.19
0.07,0.5700000000000001,426398.9
0.07,0.58,426310.7
0.07,0.59,426614.89
0.07,0.6,426614.89
0.07,0.61,426574.51
0.07,0.62,426700.82
0.07,0.63,426842.06
0.07,0.64,426766.85
0.07,0.65,426640.39
0.07,0.66,426691.49
0.07,0.67,426605.61
0.07,0.68,426435.62
0.07,0.6900000000000001,426272.39
0.07,0.7000000000000001,426259.4
0.07,0.71,426095.99
0.07,0.72,426167.47
0.07,0.73,425637.08999999997
0.07,0.74,425301.83999999997
0.07,0.75,424928.52
0.07,0.76,424840.32
0.07,0.77,424827.33
0.07,0.78,424732.35
0.07,0.79,424500.73
0.07,0.8,424574.04000000004
0.07,0.81,424322.43
0.07,0.8200000000000001,423984.64
0.07,0.8300000000000001,423770.13
0.07,0.84,423731.37
0.07,0.85,423852.4
0.07,0.86,423356.19
0.07,0.87,423267.99
0.07,0.88,423343.2
0.07,0.89,423343.2
0.07,0.9,423431.97
0.07,0.91,423431.97
0.07,0.92,422948.37
0.07,0.93,419365.41000000003
0.07,0.9400000000000001,419365.41000000003
0.07,0.9500000000000001,419365.41000000003
0.07,0.96,419365.41000000003
0.07,0.97,419365.41000000003
0.07,0.98,419365.41000000003
0.07,0.99,419365.41000000003
0.07,1.0,419365.41000000003
0.08,0.0,279408.19
0.08,0.01,393260.19
0.08,0.02,401001.53
0.08,0.03,406301.56
0.08,0.04,408831.91000000003
0.08,0.05,412064.61
0.08,0.06,415589.0800000001
0.08,0.07,418275.79
0.08,0.08,417593.98
0.08,0.09,419243.52
0.08,0.1,416862.62
0.08,0.11,416988.83999999997
0.08,0.12,416152.9
0.08,0.13,417575.79000000004
0.08,0.14,418190.44
0.08,0.15,417838.31
0.08,0.16,418068.84
0.08,0.17,418087.04000000004
0.08,0.18,419683.95
0.08,0.19,420847.54
0.08,0.2,421145.97
0.08,0.21,421384.63
0.08,0.22,422239.74
0.08,0.23,422435.26
0.08,0.24,423219.51
0.08,0.25,423543.31
0.08,0.26,423038.18
0.08,0.27,424292.44
0.08,0.28,424560.29000000004
0.08,0.29,425391.77
0.08,0.3,425283.4
0.08,0.31,425563.13
0.08,0.32,426160.44000000006
0.08,0.33,426079.02
0.08,0.34,426267.15
0.08,0.35000000000000003,426194.52
0.08,0.36,426222.29
0.08,0.37,426400.71
0.08,0.38,426807.02
0.08,0.39,426835.05000000005
0.08,0.4,426754.73
0.08,0.41000000000000003,426817.98
0.08,0.42,426694.63
0.08,0.43,426893.52
0.08,0.44,427069.32
0.08,0.45,427035.32
0.08,0.46,427060.43
0.08,0.47000000000000003,426952.83999999997
0.08,0.48,426952.83999999997
0.08,0.49,426928.04000000004
0.08,0.5,426928.04000000004
0.08,0.51,426876.94
0.08,0.52,426285.0
0.08,0.53,426368.98
0.08,0.54,426368.98
0.08,0.55,426382.15
0.08,0.56,426323.87
0.08,0.5700000000000001,426450.18
0.08,0.58,426754.37
0.08,0.59,426679.16000000003
0.08,0.6,426499.15
0.08,0.61,426550.25
0.08,0.62,426462.05
0.08,0.63,426147.59
0.08,0.64,425896.16000000003
0.08,0.65,425896.16000000003
0.08,0.66,425883.17
0.08,0.67,425810.27999999997
0.08,0.68,425993.08999999997
0.08,0.6900000000000001,425495.38
0.08,0.7000000000000001,425246.31
0.08,0.71,425171.78
0.08,0.72,424925.46
0.08,0.73,424804.59
0.08,0.74,424784.5
0.08,0.75,424745.01
0.08,0.76,424513.39
0.08,0.77,424574.04000000004
0.08,0.78,424322.43
0.08,0.79,424148.05
0.08,0.8,423770.13
0.08,0.81,423697.83999999997
0.08,0.8200000000000001,423731.37
0.08,0.8300000000000001,423673.69
0.08,0.84,423157.79
0.08,0.85,423157.79
0.08,0.86,423343.2
0.08,0.87,423343.2
0.08,0.88,423343.2
0.08,0.89,423431.97
0.08,0.9,423308.56
0.08,0.91,422621.07
0.08,0.92,419069.0
0.08,0.93,418761.98
0.08,0.9400000000000001,418761.98
0.08,0.9500000000000001,418761.98
0.08,0.96,418761.98
0.08,0.97,418761.98
0.08,0.98,418761.98
0.08,0.99,418761.98
0.08,1.0,418761.98
0.09,0.0,279408.19
0.09,0.01,392094.69
0.09,0.02,399716.16000000003
0.09,0.03,404510.20999999996
0.09,0.04,408343.24
0.09,0.05,412141.44
0.09,0.06,415382.15
0.09,0.07,418406.76
0.09,0.08,418044.83
0.09,0.09,419303.93
0.09,0.1,417027.65
0.09,0.11,416705.23
0.09,0.12,416482.87
0.09,0.13,417616.87
0.09,0.14,417414.39
0.09,0.15,417902.14
0.09,0.16,418434.56000000006
0.09,0.17,417990.78
0.09,0.18,419381.51
0.09,0.19,420610.81
0.09,0.2,421300.8
0.09,0.21,421300.8
0.09,0.22,421896.92000000004
0.09,0.23,422919.32999999996
0.09,0.24,423312.22
0.09,0.25,422976.49
0.09,0.26,423274.33999999997
0.09,0.27,423519.11
0.09,0.28,423895.33
0.09,0.29,424618.44
0.09,0.3,424467.24
0.09,0.31,425904.58
0.09,0.32,426160.44000000006
0.09,0.33,426223.12
0.09,0.34,426272.37
0.09,0.35000000000000003,426272.37
0.09,0.36,426391.23
0.09,0.37,426443.4
0.09,0.38,426741.01
0.09,0.39,426747.72
0.09,0.4,426817.98
0.09,0.41000000000000003,426694.63
0.09,0.42,426803.0
0.09,0.43,426981.42
0.09,0.44,427069.32
0.09,0.45,427184.94999999995
0.09,0.46,427099.13
0.09,0.47000000000000003,426989.16000000003
0.09,0.48,426964.36
0.09,0.49,426964.36
0.09,0.5,426801.91
0.09,0.51,426354.38
0.09,0.52,426398.49
0.09,0.53,426508.45999999996
0.09,0.54,426433.25
0.09,0.55,426265.8
0.09,0.56,426299.61
0.09,0.5700000000000001,426299.61
0.09,0.58,426251.0
0.09,0.59,426109.25
0.09,0.6,425946.02
0.09,0.61,425857.82
0.09,0.62,425883.17
0.09,0.63,425719.76
0.09,0.64,425807.95999999996
0.09,0.65,425310.25
0.09,0.66,425151.69999999995
0.09,0.67,425155.06000000006
